Category,Author,Title,Year,Publisher,Journal,Booktitle,node_id,Goto PDF,CommunityID
Theory," A. Barrett and D. Weld, "," Partial Order Planning: Evaluating Possible Efficiency Gains, ",1992,Unknown,Unknown,Unknown,23,https://homes.cs.washington.edu/~weld/papers/tr92-05-01a.pdf,21
Theory," J. S. Penberthy and D. S. Weld, UCPOP: "," A Sound , Complete, Partial-Order Planner for ADL, "," 1992, ",Unknown,Unknown," Proceedings of the Third International Conference on Knowledge Representation and Reasoning, ",24,https://homes.cs.washington.edu/~weld/papers/ucpop-kr92.pdf,0
Theory," M.C. Ferris and J.S. Pang, "," Engineering and economic applications of complementarity problems, ",Unknown,Unknown,Unknown,Unknown,25,https://pages.cs.wisc.edu/~ferris/papers/sirev-comp-app.pdf,0
Theory, Venkata N. Padmanabhan. , Improving World Wide Web Latency. ,1995,Unknown,Unknown,Unknown,26,https://www.sciencedirect.com/science/article/pii/0169755295001061/pdf?md5=155783253a4dc259c41a63d2180f1402&pid=1-s2.0-0169755295001061-main.pdf,24
Theory," Tomaso Poggio and Federico Girosi, "," A Theory of Networks for Approximation and Learning, ",1989," M.I.T., ",Unknown," Artificial Intelligence Laboratory, ",30,https://dspace.mit.edu/bitstream/handle/1721.1/6511/AIM-1140.pdf,8
Theory, A. Ram and L. Hunter. , The Use of Explicit Goals for Knowledge to Guide Inference and Learning. ,Unknown,Unknown," Applied Intelligence, ",Unknown,31,https://sites.cc.gatech.edu/fac/ashwin/papers/git-cc-92-04.pdf,25
Theory," Menczer, F., & Belew, R. K. ", Evolving sensors in environments of controlled complexity. , (1994). , A. ,Unknown,Unknown,32,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=194104586cffd74a7e673c0821f4cee32a75e017,19
Theory, John McCarthy. , Recursive functions of symbolic functions and their computation by machine. ,1960,Unknown," Communications of the ACM, ",Unknown,33,https://www-formal.stanford.edu/jmc/recursive.pdf,2
Theory," Lieberman, H., and Hewitt, C. ", A Real-Time Garbage Collector Based on the Lifetimes of Objects. ,Unknown,Unknown," CACM 26,6 (June 1983), ",Unknown,34,https://www.cs.utexas.edu/users/mckinley/395Tmm-2003/talks/LH83.pdf,6
Theory, P. Deutsch and J-L. Gailly. RFC1950: ," ZLIB Compressed Data Format Specification version 3.3, ",1996,Unknown,Unknown,Unknown,35,https://www.rfc-editor.org/rfc/pdfrfc/rfc1950.txt.pdf,32
Theory, G. Tesauro. , Practical issues in temporal difference learning. ,1992," Kluwer Academic Publishers, "," Machine Learning, ",Unknown,38,https://proceedings.neurips.cc/paper/1991/file/68ce199ec2c5517597ce0a4d89620f55-Paper.pdf,14
Theory, L. Weaver and T. Bossomaier. , Evolution of neural networks to play the game of dots-and-boxes. ,1996,Unknown,Unknown," Poster session presented at Artificial Life V, ",39,https://fse.studenttheses.ub.rug.nl/9014/1/AI_Ma_2007_GBBlom.CV.pdf,20
Theory," James Arvo, Kenneth Torrance, and Brian Smits. ", A framework for the analysis of error in global illumination algorithms. ,1994,Unknown,Unknown," In Proceedings SIGGRAPH, ",40,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=745a700de9be604dc351e481272fae8093292cd1,17
Theory," Bentley, J.L., "," ``Multidimensional binary search trees used for associative searching\'\', ",1975,Unknown," Communications of the ACM, ",Unknown,41,https://people.csail.mit.edu/teller/pubs/FunkST-i3d92.pdf,19
Theory," D. B. Lomet and B. Salzberg, ", The hB-Tree: ,Unknown,Unknown,Unknown,Unknown,42,https://www.cs.bu.edu/fac/gkollios/cs591/hb-tree.pdf,19
Theory, C. Faloutsos and S. Roseman. , Fractals for secondary key retrieval. ,1989,Unknown,Unknown," Eighth ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems (PODS), ",44,http://www.cs.cmu.edu/~christos/PUBLICATIONS.OLDER/pods89.fractals.pdf,29
Theory, Ibrahim Kamel and Christos Faloutsos. Hilbert r-tree: , an improved r-tree using fractals. ,1994,Unknown,Unknown," In Proc. of VLDB Conference,, ",46,https://www.cs.cmu.edu/~christos/PUBLICATIONS.OLDER/vldb94.pdf,6
Theory," Robert Armstrong, Dayne Freitag, Thorsten Joachims, and Tom Mitchell. WebWatcher: ", A Learning Apprentice for the World Wide Web. ,1995,Unknown,Unknown," In Proceedings of AAAI Spring Symposium on Information Gathering from Heterogenous Distributed Environments, ",48,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1eeceb8e2479924a28d4f14625175e985071f6c4,3
Theory," Bowman, M., Danzig, P., Manber, U., and Schwartz, F. ", Scalable Internet discovery: Research problems and approaches. ,1994,Unknown," C. ACM, ",Unknown,56,http://codeontheroad.com/papers/RD.ResearchProblems.Jour.pdf,19
Theory, Erik Selberg and Oren Etzioni. , Multi-service search and comparison using the MetaCrawler. ,1995,Unknown,Unknown," In Proceedings of the 4th International World Wide Web Conference, ",57,https://people.cmix.louisiana.edu/vijay/CMPS561/readingmaterial/MS1.pdf,23
Theory," N. Arni, K. Ong, S. Tsur, and C. Zaniolo. ", LDL++ : A second-generation deductive database system. ,Unknown,Unknown,Unknown,Unknown,58,http://web.cs.ucla.edu/~zaniolo/czdemo/tsur/Papers/ldlfinal.pdf,6
Theory," G. Novak, "," Software Reuse by Specialization of Generic Procedures through Views, "," 1997, ",Unknown," IEEE Trans. Software Engineering, ",Unknown,59,https://ieeexplore.ieee.org/iel2/421/6453/00252907.pdf,6
Theory, M. Chechik and J. Gannon. , Automatic Analysis of Consistency between Implementations and Requirements. ,1995,Unknown,Unknown,Unknown,60,https://tspace.library.utoronto.ca/bitstream/1807/16890/1/Chechik_2847_2978.pdf,23
Theory," Fox, G. C., Hiranandani, S., Kennedy, K., Koelbel, C., Kremer, U., Tseng, C.-W., and Wu, M.-Y. ", Fortran D language specification. ,1991,Unknown,Unknown,Unknown,61,(no link returned),8
Theory, Adele E. Howe and Larry D. Pyeatt. , Constructing transition models of AI planner behavior. ,1996,Unknown,Unknown," In Proceedings of the 11th Knowledge-Based Software Engineering Conference, ",62,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=dea8f013905d24d9fe9f88670a5fff58ee7ee14d,7
Theory," Heikki Mannila, Hannu Toivonen, and A. Inkeri Verkamo. ", Discovering frequent episodes in sequences. ,1995,Unknown,Unknown," In Proceedings of the First International Conference on Knowledge Discovery and Data Mining (KDD-95), ",64,https://cdn.aaai.org/KDD/1995/KDD95-024.pdf,6
Theory, Tim Oates and Paul R. Cohen. , Searching for planning operators with context-dependent and probabilistic effects. ,1996,Unknown,Unknown," In Proceedings of the Thirteenth National Conference on Artificial Intelligence, ",65,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=7596b1e589880a34d55b38657aac856a0cf7781f,23
Theory," Judea Pearl, "," Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference, ",1988," Mor gan Kaufmann, ",Unknown,Unknown,66,https://doc.lagout.org/science/Artificial%20Intelligence/Bayesian%20networks/Judea%20Pearl%20-%20Probabilistic%20Reasoning%20in%20Intelligent%20Systems.pdf,31
Theory," Larry D. Pyeatt, Adele E. Howe, and Charles W. Anderson. ", Learning coordinated behaviors for control of a simulated robot. ,1996,Unknown,Unknown,Unknown,67,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=4e4076c063e1a4187c1676e7db1b09e2d4a05933,32
Theory," Srinivasan, Raghavan and Howe, Adele E. ", Comparison of methods for improving search efficiency in a partial-order planner. ,1995,Unknown,Unknown," In Proceedings of the 14th International Joint Conference on Artificial Intelligence, ",69,https://www.ijcai.org/Proceedings/95-2/Papers/078.pdf,19
Theory," K. N. Kutulakos and C. R. Dyer, "," Recovering shape by purposive viewpoint adjustment, ",1994,Unknown,Unknown,Unknown,70,https://www.cs.toronto.edu/~kyros/pubs/92.cvpr.curvature.pdf,32
Theory, Kiriakos N. Kutulakos and Charles R. Dyer. , Affine surface reconstruction by purposive viewpoint control. ,1995,Unknown,Unknown," In Proc. Fifth Int. Conf. on Computer Vision, ",71,https://www.cs.toronto.edu/~kyros/pubs/95.iccv.pdf,0
Theory," K. N. Kutulakos, V. J. Lumelsky, and C. R. Dyer, "," Vision-guided exploration: A step toward general motion planning in three dimensions, ",1993,Unknown,Unknown," in Proc. IEEE Robotics Automat. Conf., ",72,http://www.cs.utoronto.ca/~kyros/pubs/93.icra.pdf,6
Theory, Ole Agesen. , The Cartesian Product Algorithm: Simple and Precise Type Inference of Parametric Polymorphism. ,1995,Unknown,Unknown," In Proceedings ECOOP 95, ",77,https://www.lirmm.fr/~ducour/Doc-objets/ECOOP/papers/0952/09520002.pdf,8
Theory," Ole Agesen, Jens Palsberg, and Michael I. Schwartzback. ", Type Inference of Self: Analysis of Objects with Dynamic and Multiple Inheritance. ,1993,Unknown,Unknown," In Proceedings ECOOP 93, ",78,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=429f3b77491564ec09b7a918916c7d7c9b57b386,14
Theory," Jeffrey Dean, David Grove, and Craig Chambers. ", Optimization of Object-Oriented Programs Using Static Class Hierarchy Analysis. ,1995,Unknown,Unknown," In Proceedings of the European Conference on Object-Oriented Programming (ECOOP 95), ",81,http://web.cs.ucla.edu/~palsberg/tba/papers/dean-grove-chambers-ecoop95.pdf,7
Theory," David Grove, Greg DeFouw, Jeffrey Dean, and Craig Chambers. ", Call Graph Construction in Object Oriented Languages. ,1997,Unknown,Unknown," In OOPSLA97 Conference Proceedings, ",82,https://pdfs.semanticscholar.org/fbad/340167a0e205fdb91e4dabfbd1036f84e50c.pdf,49
Theory," N. Oxhoj, J. Palsberg, and M. Schwartzbach. ", Making type inference practical. ,1992," Springer-Verlag, ",Unknown," European Conference on Object-Oriented Programming, number 615 in LNCS, ",83,https://people.cs.vt.edu/ryder/Salerno0906-2.pdf,6
Theory, J. B. Plevyak and A. A. Chien. , Precise Concrete Type Inference for Object-Oriented Languages. ,1995,Unknown,Unknown," In Proceedings of the Ninth Conference on Object-Oriented Programming Systems, Languages and Applications (OOP--SLA\'94), ",86,http://www.cs.cornell.edu/courses/cs612/2000SP/papers/plevyak-type-inf.pdf,8
Theory, Michael Luby and Noam Nissan. , A parallel approximation algorithm for positive linear programming. ,1993,Unknown,Unknown," In Proc. 25th ACM Symp. on Theory of Computing, ",87,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=34f2d1bc00866837d026729a7de0922adbbe087f,19
Theory, C. Papadimitriou and M. Yannakakis. ," Optimization, approximation, and complexity classes. ",1991,Unknown," Journal of Computer and System Sciences 43, ",Unknown,88,https://citeseerx.ist.psu.edu/document?repid=rep1&amp;type=pdf&amp;doi=59a28bcdf3a537bf9c90e6eb6ade939f39b90877,23
Theory," Aamodt, A. and Plaza, E. "," Case-based reasoning: Foundational issues, methodological variations, and system approaches. ", (1994). ,Unknown," AI Communications, ",Unknown,89,https://www.iiia.csic.es/~enric/papers/AICom.pdf,20
Theory," M. V. Nagendraprasad, S. E. Lander, and V. R. Lesser, "," Retrieval and Reasoning in Distributed Case Based Systems, "," 1994, ",Unknown,Unknown,Unknown,90,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3c13b1ddda499fab2a71c681557d4c62ef401033,34
Theory," C. Pu, H. Massalin, and J. Ioannidis. ", The Synthesis kernel. ,1988,Unknown," Computing Systems, ",Unknown,91,https://www.usenix.org/publications/compsystems/1988/win_pu.pdf,2
Theory," L. Babai, L. Fortnow, N. Nisan, and A. Wigderson. ", Bpp has subexponential time simulations unless exptime has publishable proofs. ,Unknown,Unknown,Unknown,Unknown,93,https://mathweb.ucsd.edu/~sbuss/CourseWeb/Math268_2012F/BFNW93.pdf,18
Theory," V. Jacobson, "," Congestion Avoidance and Control, ",Unknown,Unknown,Unknown," Proceedings of ACM Sigcomm \'88, ",94,https://ee.lbl.gov/papers/congavoid.pdf,20
Theory," Vern Paxson, "," Growth Trends in Wide-Area TCP Connections. Technical Reliable Stream Transmission in Mobile Computing Environments 14 Report, ",1993,Unknown,Unknown,Unknown,95,https://scholar.archive.org/work/zhmeaybqrjc55dapkrrnqdnhb4/access/wayback/http://www.6test.edu.cn/~zhangql/documents/WAN-TCP-growth-trends.pdf,7
Theory," T. M. Austin, T.N. Vijaykumar, and G. S. Sohi. ", Knapsack: A zero-cycle memory hierarchy component. ,1993,Unknown,Unknown,Unknown,96,https://web.eecs.umich.edu/~taustin/papers/UWTR93-knapsack.pdf,8
Theory," S. Dwarkadas, A.A. Schaffer, R.W. Cottingham Jr., A.L. Cox, P. Keleher, and W. Zwaenepoel. ", Parallelization of general linkage analysis problems. ,1994,Unknown,Unknown," Human Heredity, ",97,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d631f83518e7ff5acb16556d6a3c09be34500738,32
Theory," Pete Keleher, Alan L. Cox, and Willy Zwaenepoel. ", Lazy release consistency for software distributed shared memory. ,1992,Unknown,Unknown," In Proceedings of the International Symposium on Computer Architecture, ",99,https://people.eecs.berkeley.edu/~kubitron/cs258/handouts/papers/p13-keleher.pdf,24
Theory," J.P.Singh, J.L.Hennessy, and A. Gupta, "," Implications of Hierarchical N-Body Methods for Multiprocessor Architectures, "," 1995, ",Unknown," ACM Trans. on Computer Systems, Vol.13, No.2, ",Unknown,100,https://www.cs.umd.edu/class/fall2019/cmsc714/readings/Warren-nbody.pdf,7
Theory," R.K. Powalka, N. Sherkat, ", R.J. Whitrow. The use of word shape information for cursive script recognition. ,1994,Unknown,Unknown," Fourth Int. Workshop on Frontiers of Handwriting Recognition, Taiwan, ",101,https://irep.ntu.ac.uk/15350/1/188438_6057%20Sherkat%20Postprint.pdf,10
Theory," C. Evrendilek, A. Dogac, S. Nural, and F. Ozcan. ", Query Optimization in Multidatabase Systems. ,1996,Unknown,Unknown,Unknown,102,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=42a4daca619063565f5c1683141d1141a7d3052d#page=40,12
Theory," Bart Selman and Henry A. Kautz, "," An Empirical Study of Greedy Local Search for Satisfiability Testing, ",1993," AAAI Press/The MIT Press, ",Unknown," In AAAI, ",103,https://henrykautz.com/papers/gsat-study.pdf,12
Theory," Agrawal, R., Mannila, H., Srikant, R., Toivonen, H., and Verkamo, A. I. ", Fast discovery of association rules. ,1996," AAAI Press, ",Unknown," In Advances in Knowledge Discovery and Data Mining, ",104,https://cdn.aaai.org/KDD/1997/KDD97-060.pdf,16
Theory," Marcel Holsheimer, Martin Kersten, Heikki Mannila, and Hannu Toivonen. ", A perspective on databases and data mining. ,1995,Unknown,Unknown," In Proceedings of the First International Conference on Knowledge Discovery and Data Mining (KDD\'95), ",105,https://typeset.io/pdf/a-perspective-on-databases-and-data-mining-4u19h4yn6y.pdf,6
Theory, Tim Oates and Paul R. Cohen. , Toward a plan steering agent: Experiments with schedule maintenance. ,1994," AAAI Press, ",Unknown," Second International Conference on Artificial Intelligence Planning Systems, ",107,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=de680882bfd154c370d4b447025a44f67875b8b9,18
Theory," Bala, J., Jong, K. D., Huang, J., Vafaie, H., and Wechsler, H. ", Hybrid Learning Using Genetic Algorithms and Decision Trees for Pattern Classification. , (1995). ,Unknown,Unknown, In 14th Int. Joint Conf. on Artificial Intelligence (IJCAI). ,108,https://www.ijcai.org/Proceedings/95-1/Papers/094.pdf,21
Theory," A. Alexandrov, M. Ionescu, K. E. Schauser, and C. Scheiman. LogGP: ", Incorporating Long Messages into the LogP model | One step closer towards a realistic model for parallel computation. ,1995,Unknown,Unknown," In 7th Annual Symposium on Parallel Algorithms and Architectures, ",109,https://people.eecs.berkeley.edu/~kubitron/courses/cs258-S02/handouts/papers/logp.pdf,12
Theory," R. Arpaci, D. Culler, A. Krishnamurthy, S. Stein-berg, and K. Yelick. ", Empirical evaluation of the CRAY T3D: A compiler perspective. ,1995,Unknown,Unknown," In International Symposium on Computer Architecture, ",110,https://pages.cs.wisc.edu/~remzi/Postscript/isca95.pdf,11
Theory," M. Blumrich, K. Li, R. Alpert, C. Dubnicki, E. Felten, and J. Sandberg. ", Virtual memory mapped network interface for the SHRIMP multicomputer. ,1994,Unknown,Unknown," To appear in Proceedings of 1994 International Symposium on Computer Architecture, ",111,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=f4bd6425e5edff02078dc52238c01ec51f75f6fe,6
Theory," N. J. Boden, D. Cohen, R. E. Felderman, A. E. Kulawik, C. L. Seitz, J. N. Seizovic, and W.-K. Su. Myrinet: ", a gigabit per second local area network. ,1995,Unknown," IEEE Micro, ",Unknown,112,https://web.cse.ohio-state.edu/~panda.2/788/papers/1b_m1029.pdf,12
Theory," Culler, D. E., Dusseau, A., Goldstein, S. C., Krishnamurthy, A., Lumetta, S., von Eicken, T., and Yelick, K. ", Parallel Programming in Split-C. ,1993,Unknown,Unknown,Unknown,114,https://www.researchgate.net/profile/Katherine-Yelick/publication/2313628_Parallel_Programming_in_Split-C/links/09e4150c1f49c90158000000/Parallel-Programming-in-Split-C.pdf,18
Theory," D. E. Culler, R. M. Karp, D. A. Patterson, A. Sahay, K. E. Schauser, E. Santos, R. Subramonian, and T. von Eicken. ", LogP: Towards a Realistic Model of Parallel Computation. ,1993,Unknown,Unknown," In Fourth ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, ",118,https://people.eecs.berkeley.edu/~kubitron/courses/cs258-S02/handouts/papers/logp.pdf,19
Theory," R. Cypher, A. Ho, S. Konstantinidou, and P. Messina. ", Architectural requirements of parallel scientific applications with explicit communication. ,1993,Unknown,Unknown," In Proceedings of 20th International Symposium on Computer Architecture, ",120,https://ieeexplore.ieee.org/iel4/914/7905/00698541.pdf,8
Theory," Chris Holt, Mark Heinrich, Jaswinder Pal Singh, Edward Rothberg, and John Hen-nessy. "," The effects of latency, occupancy, and bandwidth in distributed shared memory multiprocessors. ",1995,Unknown,Unknown,Unknown,121,http://www.cs.ucf.edu/~heinrich/papers/Effects.pdf,12
Theory," Thorsten von Eicken, David E. Culler, Seth Copen Coldstein, and Klaus Erik Schauser. ", Active Messages: a Mechanism for Integrated Communication and Computation. ,1992,Unknown,Unknown," In Proceedings of the 19th International Symposium on Computer Architecture, ",122,https://safari.ethz.ch/architecture_seminar/fall2018/lib/exe/fetch.php?media=active_messages.pdf,24
Theory," M. Blum, M. Luby, and R. Rubinfeld. "," Self-testing and self-correcting programs, with applications to numerical programs. ",Unknown,Unknown,Unknown,Unknown,124,https://people.csail.mit.edu/joanne/selftestcorrect.pdf,12
Theory, O. Goldreich and D. Ron. , Property testing in bounded degree graphs. ,1997,Unknown,Unknown," Proc. 29th Symposium on Theory of Computing, ",125,https://www.cs.princeton.edu/courses/archive/spring04/cos598B/bib/GoldreichR-boundedG.pdf,32
Theory, S. Ravi Kumar and D. Sivakumar. , Efficient self testing/self-correction of linear recurrences. ,1996,Unknown,Unknown," Proc. 37th Foundations of Computer Science, ",126,http://vmahesh.cs.illinois.edu/papers/jcss00.pdf,12
Theory, Craig Boutilier and Moises Goldszmidt. , The frame problem and Bayesian network action representations. ,1996,Unknown,Unknown," In Proceedings of the Eleventh Biennial Canadian Conference on Artificial Intelligence, ",127,https://www.cs.toronto.edu/~cebly/Papers/_download_/BN-frame.pdf,24
Theory," R. Alur, T.A. Henzinger. "," Local liveness for compositional modeling of fair reactive systems. In Computer-aided Verification, ",1995," Springer LNCS 939, ",Unknown,Unknown,128,https://www-verimag.imag.fr/PEOPLE/Joseph.Sifakis/RECH/tacas00.pdf,18
Theory," W. Lawton, "," Tight frames of compactly supported affine wavelets, ",Unknown,Unknown, J. Math. Phys. ,Unknown,130,https://pubs.aip.org/aip/jmp/article-pdf/31/8/1898/8159792/1898_1_online.pdf,23
Theory," A. Ron, ", Zuowei Shen (1995): Frames and stable bases for shift-invariant subspaces of L 2 (IR d ). Canad. ,Unknown,Unknown," J. Math., ",Unknown,131,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/868775AE640B8A035CEA3077BDAA1299/S0008414X00048392a.pdf/frames_and_stable_bases_for_shiftinvariant_subspaces_of_l2d.pdf,6
Theory," A. Ron and Z. Shen, "," Weyl-Heisenberg frames and Riesz bases in L 2 (R d ), preprint (1994). ",Unknown,Unknown,Unknown,Unknown,132,https://ftp.cs.wisc.edu/Approx/wh.pdf,18
Theory," Tushar Chandra, Vassos Hadzilacos, Prasad Jayanti, and Sam Toueg. ", Wait-freedom vs. t-resiliency and the robustness of the wait-free hierarchies. ,1994,Unknown,Unknown," In Proceedings of the 13th ACM Symposium on Principles of Distributed Computing, ",134,https://perso.telecom-paristech.fr/kuznetso/slides/tb.pdf,12
Theory," Thomas E. Anderson, Henry M. Levy, Brian N. Bershad, and Edward D. Lazows-ka. ", The Interaction of Architecture and Operating System Design. ,1991,Unknown,Unknown," In Proceedings of the 1991 International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS-IV), ",135,https://www.scs.stanford.edu/nyu/03sp/sched/interaction.pdf,16
Theory," M. Bellare, O. Goldreich and S. Goldwasser. ", Incremental cryptography: The case of hashing and signing. ,Unknown,Unknown,Unknown,Unknown,136,https://cseweb.ucsd.edu/~mihir/papers/inc1.pdf,12
Theory, M.Bellare and P. Rogaway. , Random oracles are practical: a paradigm for designing efficient protocols. ,1993,Unknown,Unknown," Proceedings of the First Annual Conference on Computer and Communications Security, ACM, ",137,https://cseweb.ucsd.edu/~mihir/papers/ro.pdf,16
Theory, S. Even and O. Goldreich. , On the Security of Multi-party Ping-Pong Protocols. ,1983,Unknown,Unknown," 24th IEEE Symposium on Foundations of Computer Science, ",138,https://www.wisdom.weizmann.ac.il/~oded/PSX/eg83rev.pdf,37
Theory, O. Goldreich and R. Ostrovsky. , Software protection and simulation by oblivious RAMs. ,1996,Unknown," JACM, ",Unknown,139,http://class.ece.iastate.edu/tyagi/cpre681/papers/p431-goldreich.pdf,12
Theory," M. Naor, R. Ostrovsky, R. Venkatasan, M. Yung. ", Perfect zero knowledge arguments for NP can be based on general complexity assumptions. ,1992," Springer-Verlag, ",Unknown," Advances in Cryptology - Crypto 92 Proceedings, Lecture Notes in Computer Science Vol. ",140,https://web.cs.ucla.edu/~rafail/PUBLIC/10.pdf,20
Theory," Singh, J. P., Weber, W.-D., and Gupta, A. "," SPLASH: Stanford parallel applications for shared-memory. Computer Architecture News, ", (1992). , 20(1):5--44. ,Unknown,Unknown,141,http://i.stanford.edu/pub/cstr/reports/csl/tr/91/469/CSL-TR-91-469.pdf,3
Reinforcement_Learning," M.R. Garey & D.S. Johnson, "," Computers and Intractibility: A Guide to the Theory of NP-Completeness, W.H. ",1979," Freeman, ",Unknown,Unknown,142,https://bohr.wlu.ca/hfan/cp412/references/ChapterOne.pdf,7
Reinforcement_Learning," Anant Agarwal, David Chaiken, Godfrey D\'Souza, Kirk John-son, David Kranz, John Kubiatowicz, Kiyoshi Kurihara, Beng-Hong Lim, Gino Maa, Dan Nussbaum, Mike Parkin, and Donald Yeung. ", The MIT Alewife machine: A large-scale distributed-memory processor. ,1991,Unknown,Unknown,Unknown,143,http://groups.csail.mit.edu/cag/papers/pdf/mitalewife.pdf,0
Reinforcement_Learning," M. L. Bailey, B. Gopal, P. Sarkar, M. A. Pagels, and L. L. Peterson. Pathfinder: ", A pattern-based packet classifier. ,1994,Unknown,Unknown," In Proceedings of the 1 st Symposium on Operating System Design and Implementation. USENIX, ",144,(no link returned),21
Reinforcement_Learning, H.D. Block and S.A. Levin. , On the boundedness of an iterative procedure for solving a system of linear inequalities. ,1970,Unknown," Proceedings of the American Mathematical Society, ",Unknown,145,https://www.ams.org/proc/1970-026-02/S0002-9939-1970-0265383-5/S0002-9939-1970-0265383-5.pdf,21
